Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.89,3.04,6.98,8.74,0.1,14.04,7.17,0.27,4.03,0.94,112.1,1011,3450,1.22,17.37,130.6,552.5,64.58,529.6,63.63,99.01,25.48,620.9,143.3,14.25,7.35,179.3,321.3,36.7,120.9,16.23,3.87,9.8,1.29,5.81,0.93,2.14,0.27,1.65,0.22,21.86,24.27,4.46,16.92
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,44.64,3.07,7.02,8.78,0.1,14.05,7.24,0.28,4.13,0.94,113.2,1016,3348,1.22,16.4,132.7,585,60.72,549.1,68.01,101,26.14,631.9,149.5,13.33,6.95,179.9,321.2,36.12,120.4,15.36,3.75,9.3,1.15,5.47,0.87,2.07,0.27,1.51,0.2,22.1,24.19,4.44,16.96
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.83,2.98,6.99,8.87,0.1,14.03,7.13,0.27,3.94,0.93,107.1,972.6,3362,1.24,16.8,123.9,546.7,56.33,516.1,64.61,90.03,25.14,587,139.9,13.87,7.25,177.6,313.7,35.93,116.9,15.82,3.7,9.41,1.22,5.88,0.89,2.16,0.27,1.49,0.21,22.09,23.21,4.3,16.76
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,44.26,3.08,6.97,8.8,0.11,12.81,7,0.22,4.35,1.01,113.2,986,3079,1.28,16.77,127.7,461.8,61.94,493.5,70.57,104.5,24.45,614.2,148.2,14.5,7.71,185.6,324,37.08,117.8,16.18,4.11,9.31,1.23,5.7,0.92,2.19,0.28,1.71,0.21,27.43,24.39,4.46,16.51
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,44.18,3.09,6.84,8.79,0.11,12.83,6.94,0.21,4.36,1,107.3,962.9,2995,1.28,15.96,124,452,54.76,485.4,68.56,100.1,23.93,603.9,143,14.34,7.7,181.2,319,36.43,116.6,16.43,3.97,9.7,1.21,5.83,0.92,2.13,0.26,1.64,0.22,28.37,24.57,4.42,15.89
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,45.66,3.23,7.2,7.84,0.1,12.91,6.87,0.24,4.73,1.06,114.1,978.3,3589,1.17,17.52,125.5,491.7,68.91,508.3,62.7,143.4,24.55,593.8,138.9,14.16,7.51,177.7,311.1,35.74,116.4,16.26,3.91,9.73,1.25,5.94,0.94,2.22,0.28,1.69,0.21,21.09,23.57,4.32,16.77
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,44.57,3.17,6.99,8.13,0.1,13.63,6.94,0.26,4.56,1.1,110.3,898.1,3163,1.1,16.48,128.5,563,63.13,506.4,62.53,95.28,24.29,562,132,12.92,6.62,177.4,308.5,35.43,119,15.52,3.9,9.4,1.15,5.59,0.84,1.95,0.26,1.51,0.19,19.46,22.7,4.13,17.1
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,41.25,2.73,6.1,7.79,0.08,8.09,13.86,0.22,5.07,1.14,83.35,1148,2228,6.99,14.78,113.9,494.9,56.58,493.3,57.69,72.73,26.74,587.6,134.4,13.25,6.86,175.7,299.2,33.57,111.3,14.42,3.82,8.9,1.17,5.54,0.94,2.24,0.28,1.66,0.22,18.57,20.32,4.06,16.81
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Phlogopite lamproite,51.03,2.67,9.81,3.67,0.07,7.24,5.37,1.03,10.61,1.71,295.2,2864,6540,2.6,15.05,91.74,360.7,44.28,204.3,-,-,17.42,1534,56.6,41,8.13,196.3,392.6,43.44,153.8,20.85,4.16,12.95,1.27,4.53,0.66,1.45,0.17,0.96,0.13,33.08,21.83,4.91,-
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Phlogopite lamproite,52.98,2.55,10.49,2.64,0.07,7.23,4.31,1.29,11.15,1.37,277.7,2020,5410,2.53,14.95,101.9,344.5,51.25,207.6,-,-,13.9,1570,60.99,41.66,11.95,158.2,321.5,36.62,124.9,17.1,3.17,10.01,0.98,3.59,0.55,1.26,0.16,0.91,0.12,30.96,20.05,4.28,-
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Phlogopite lamproite,51.57,2.42,10.1,2.85,0.08,7.78,5.03,1.31,11.32,1.61,268.8,2405,7113,2.75,15.05,104.4,395.4,67.18,206.3,-,-,13.61,1610,62.99,42.42,6.95,187.5,367.7,40.06,133.1,17.53,3.16,10.1,0.98,3.55,0.54,1.28,0.16,0.91,0.13,32.32,24.17,5.7,-
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Phlogopite lamproite,54.86,2.52,10.8,3,0.05,6.56,3.57,1.24,10.7,1.32,288,1815,5376,2.47,12.57,60.63,311.3,20.84,220.6,-,-,12.21,1622,49.18,43.45,2.25,128.6,270.2,31.28,107.8,15.34,2.82,8.77,0.88,3.29,0.49,1.13,0.14,0.79,0.11,30.44,16.01,2.39,-
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Phlogopite lamproite,53.45,2.14,10.27,3.6,0.08,9.61,4.21,1.26,10.62,1.28,242.7,1707,4104,2.19,12.34,86.75,439.4,49.34,302.7,-,-,14.23,1462,47.87,38.35,5.73,155.2,317.4,35.9,123.7,17.76,3.17,10.12,1.01,3.79,0.56,1.3,0.16,0.88,0.12,25.84,18.37,4.32,-
Sun et al. 2021 CMP,"USA (Leucite Hills, Wyoming)",Anorogenic,Madupitic lamproite,42.71,2.4,7.67,4.72,0.14,11.75,13.13,0.5,2.52,1.6,167.7,5517,8088,4.11,22.46,42.08,573.5,47.41,147,-,-,22.53,1624,147.4,41.76,10.99,422.8,827.1,88.54,303.9,42.13,7.32,23.78,2.08,6.74,0.94,2,0.22,1.25,,,,,
